Godot Engine v4.7.1.stable.official.a13da4feb - https://godotengine.org

======== КОМПЕНСАЦИЯ ПО ПОЗИЦИЯМ (k=0 ходит первым) ========
draft      на 2 komi=0         k0 41.3%(60) k1 57.6%(68) | разброс 16.3 п.п. | ничьих раундов 1.0% | раундов 2.61
draft      на 2 komi=3         k0 44.7%(64) k1 53.8%(68) | разброс 9.2 п.п. | ничьих раундов 1.5% | раундов 2.58
draft      на 2 komi=6         k0 47.4%(66) k1 50.8%(69) | разброс 3.3 п.п. | ничьих раундов 1.8% | раундов 2.56
draft      на 2 komi=12        k0 53.9%(73) k1 45.0%(69) | разброс 8.9 п.п. | ничьих раундов 1.1% | раундов 2.48
draft      на 2 komi=18        k0 60.0%(79) k1 39.2%(70) | разброс 20.9 п.п. | ничьих раундов 0.8% | раундов 2.40
race       на 2 komi=0         k0 51.2%(63) k1 47.5%(61) | разброс 3.7 п.п. | ничьих раундов 1.3% | раундов 8.10
race       на 2 komi=3         k0 55.3%(66) k1 43.5%(60) | разброс 11.8 п.п. | ничьих раундов 1.2% | раундов 7.97
race       на 2 komi=6         k0 58.5%(69) k1 40.1%(60) | разброс 18.5 п.п. | ничьих раундов 1.4% | раундов 7.87
race       на 2 komi=12        k0 66.2%(75) k1 32.9%(60) | разброс 33.3 п.п. | ничьих раундов 0.9% | раундов 7.62
race       на 2 komi=18        k0 71.9%(81) k1 27.4%(60) | разброс 44.5 п.п. | ничьих раундов 0.7% | раундов 7.35
territory  на 2 komi=0         k0 44.9%(11) k1 54.9%(11) | разброс 9.9 п.п. | ничьих раундов 0.2% | раундов 2.56
territory  на 2 komi=3         k0 45.6%(11) k1 54.1%(11) | разброс 8.6 п.п. | ничьих раундов 0.3% | раундов 2.55
territory  на 2 komi=6         k0 46.0%(10) k1 53.6%(11) | разброс 7.6 п.п. | ничьих раундов 0.5% | раундов 2.55
territory  на 2 komi=12        k0 47.3%(10) k1 52.6%(11) | разброс 5.3 п.п. | ничьих раундов 0.1% | раундов 2.54
territory  на 2 komi=18        k0 47.8%(10) k1 52.0%(11) | разброс 4.2 п.п. | ничьих раундов 0.1% | раундов 2.53
-- большая доска подробнее --
big        на 2 komi=8         k0 48.7%(172) k1 51.0%(178) | разброс 2.3 п.п. | ничьих раундов 0.3% | раундов 4.20
big        на 2 komi=12        k0 50.1%(176) k1 49.4%(178) | разброс 0.7 п.п. | ничьих раундов 0.4% | раундов 4.18
big        на 2 komi=16        k0 51.4%(180) k1 48.3%(178) | разброс 3.1 п.п. | ничьих раундов 0.2% | раундов 4.16
big        на 2 komi=20        k0 52.4%(184) k1 47.5%(178) | разброс 4.8 п.п. | ничьих раундов 0.1% | раундов 4.14
big        на 2 komi=24        k0 53.5%(187) k1 46.2%(179) | разброс 7.3 п.п. | ничьих раундов 0.3% | раундов 4.11
big        на 2 komi=28        k0 54.9%(191) k1 44.8%(179) | разброс 10.1 п.п. | ничьих раундов 0.3% | раундов 4.09
-- классика подробнее --
classic    на 2 komi=0         k0 45.3%(72) k1 54.0%(76) | разброс 8.7 п.п. | ничьих раундов 0.8% | раундов 4.23
classic    на 2 komi=3         k0 47.1%(75) k1 52.1%(76) | разброс 5.0 п.п. | ничьих раундов 0.8% | раундов 4.21
